r,f,rho,v,p,rho1
0,0.4317,0,0,0.308357143,0.029
0.1,0.4317,0,0.0725,0.308357143,0.029
0.2,0.4317,0,0.1451,0.308357143,0.029
0.3,0.4317,0,0.2176,0.308357143,0.029
0.4,0.4317,0,0.2901,0.308357143,0.029
0.5,0.4335,0.029,0.3627,0.309642857,0.029
0.55,0.4354,0.055,0.3989,0.311,0.055
0.6,0.4392,0.097,0.4352,0.313714286,0.097
0.65,0.4462,0.165,0.4721,0.318714286,0.165
0.7,0.4588,0.274,0.5107,0.327714286,0.274
0.74,0.4745,0.399,0.5431,0.338928571,0.399
0.76,0.4841,0.473,0.5598,0.345785714,0.473
0.78,0.4959,0.561,0.577,0.354214286,0.561
0.8,0.5105,0.668,0.5949,0.364642857,0.668
0.82,0.5285,0.798,0.6135,0.3775,0.798
0.84,0.5509,0.958,0.6331,0.3935,0.958
0.86,0.579,1.159,0.6536,0.413571429,1.159
0.88,0.6146,1.416,0.6753,0.439,1.416
0.9,0.6602,1.75,0.6983,0.471571429,1.75
0.91,0.6859,1.941,0.7101,0.489928571,1.941
0.92,0.715,2.16,0.7223,0.510714286,2.16
0.93,0.7481,2.412,0.7348,0.534357143,2.412
0.94,0.7858,2.706,0.7477,0.561285714,2.706
0.95,0.8291,3.05,0.761,0.592214286,3.05
0.96,0.8789,3.456,0.7747,0.627785714,3.456
0.97,0.9365,3.94,0.7888,0.668928571,3.94
0.98,1.0036,4.521,0.8033,0.716857143,4.521
0.985,1.0398,4.84,0.8107,0.742714286,4.84
0.99,1.0788,5.19,0.8182,0.770571429,5.19
0.995,1.121,5.575,0.8257,0.800714286,5.575
1,1.1667,6,0.8333,0.833357143,6
1.005,0.000007,1,0,0.000005,1
1.01,0.000007,1,0,0.000005,1
1.02,0.000007,1,0,0.000005,1
1.04,0.000007,1,0,0.000005,1
1.06,0.000007,1,0,0.000005,1
1.08,0.000007,1,0,0.000005,1
1.1,0.000007,1,0,0.000005,1
1.12,0.000007,1,0,0.000005,1
1.14,0.000007,1,0,0.000005,1
1.16,0.000007,1,0,0.000005,1
1.18,0.000007,1,0,0.000005,1
1.2,0.000007,1,0,0.000005,1
1.22,0.000007,1,0,0.000005,1
1.24,0.000007,1,0,0.000005,1
1.26,0.000007,1,0,0.000005,1
1.28,0.000007,1,0,0.000005,1
1.3,0.000007,1,0,0.000005,1
1.32,0.000007,1,0,0.000005,1
1.34,0.000007,1,0,0.000005,1
1.36,0.000007,1,0,0.000005,1
1.38,0.000007,1,0,0.000005,1
1.4,0.000007,1,0,0.000005,1
1.42,0.000007,1,0,0.000005,1
1.44,0.000007,1,0,0.000005,1
1.46,0.000007,1,0,0.000005,1
1.48,0.000007,1,0,0.000005,1
1.5,0.000007,1,0,0.000005,1
1.52,0.000007,1,0,0.000005,1
1.54,0.000007,1,0,0.000005,1
1.56,0.000007,1,0,0.000005,1
1.58,0.000007,1,0,0.000005,1
1.6,0.000007,1,0,0.000005,1
1.62,0.000007,1,0,0.000005,1
1.64,0.000007,1,0,0.000005,1
1.66,0.000007,1,0,0.000005,1
1.68,0.000007,1,0,0.000005,1
1.7,0.000007,1,0,0.000005,1
1.72,0.000007,1,0,0.000005,1
1.74,0.000007,1,0,0.000005,1
1.76,0.000007,1,0,0.000005,1
1.78,0.000007,1,0,0.000005,1
1.8,0.000007,1,0,0.000005,1
1.82,0.000007,1,0,0.000005,1
1.84,0.000007,1,0,0.000005,1
1.86,0.000007,1,0,0.000005,1
1.88,0.000007,1,0,0.000005,1
1.9,0.000007,1,0,0.000005,1
1.92,0.000007,1,0,0.000005,1
1.94,0.000007,1,0,0.000005,1
1.96,0.000007,1,0,0.000005,1
1.98,0.000007,1,0,0.000005,1
2,0.000007,1,0,0.000005,1
2.02,0.000007,1,0,0.000005,1
2.04,0.000007,1,0,0.000005,1
2.06,0.000007,1,0,0.000005,1
2.08,0.000007,1,0,0.000005,1
2.1,0.000007,1,0,0.000005,1
2.12,0.000007,1,0,0.000005,1
2.14,0.000007,1,0,0.000005,1
2.16,0.000007,1,0,0.000005,1
2.18,0.000007,1,0,0.000005,1
2.2,0.000007,1,0,0.000005,1
2.22,0.000007,1,0,0.000005,1
2.24,0.000007,1,0,0.000005,1
2.26,0.000007,1,0,0.000005,1
2.28,0.000007,1,0,0.000005,1
2.3,0.000007,1,0,0.000005,1
2.32,0.000007,1,0,0.000005,1
2.34,0.000007,1,0,0.000005,1
2.36,0.000007,1,0,0.000005,1
2.38,0.000007,1,0,0.000005,1
2.4,0.000007,1,0,0.000005,1
2.42,0.000007,1,0,0.000005,1
2.44,0.000007,1,0,0.000005,1
2.46,0.000007,1,0,0.000005,1
2.48,0.000007,1,0,0.000005,1
2.5,0.000007,1,0,0.000005,1
2.52,0.000007,1,0,0.000005,1
2.54,0.000007,1,0,0.000005,1
2.56,0.000007,1,0,0.000005,1
2.58,0.000007,1,0,0.000005,1
2.6,0.000007,1,0,0.000005,1
2.62,0.000007,1,0,0.000005,1
2.64,0.000007,1,0,0.000005,1
2.66,0.000007,1,0,0.000005,1
2.68,0.000007,1,0,0.000005,1
2.7,0.000007,1,0,0.000005,1
2.72,0.000007,1,0,0.000005,1
2.74,0.000007,1,0,0.000005,1
2.76,0.000007,1,0,0.000005,1
2.78,0.000007,1,0,0.000005,1
2.8,0.000007,1,0,0.000005,1
2.82,0.000007,1,0,0.000005,1
2.84,0.000007,1,0,0.000005,1
2.86,0.000007,1,0,0.000005,1
2.88,0.000007,1,0,0.000005,1
2.9,0.000007,1,0,0.000005,1
2.92,0.000007,1,0,0.000005,1
2.94,0.000007,1,0,0.000005,1
2.96,0.000007,1,0,0.000005,1
2.98,0.000007,1,0,0.000005,1
3,0.000007,1,0,0.000005,1
3.02,0.000007,1,0,0.000005,1
3.04,0.000007,1,0,0.000005,1
3.06,0.000007,1,0,0.000005,1
3.08,0.000007,1,0,0.000005,1
3.1,0.000007,1,0,0.000005,1
3.12,0.000007,1,0,0.000005,1
3.14,0.000007,1,0,0.000005,1
3.16,0.000007,1,0,0.000005,1
3.18,0.000007,1,0,0.000005,1
3.2,0.000007,1,0,0.000005,1
3.22,0.000007,1,0,0.000005,1
3.24,0.000007,1,0,0.000005,1
3.26,0.000007,1,0,0.000005,1
3.28,0.000007,1,0,0.000005,1
3.3,0.000007,1,0,0.000005,1
3.32,0.000007,1,0,0.000005,1
3.34,0.000007,1,0,0.000005,1
3.36,0.000007,1,0,0.000005,1
3.38,0.000007,1,0,0.000005,1
3.4,0.000007,1,0,0.000005,1
3.42,0.000007,1,0,0.000005,1
3.44,0.000007,1,0,0.000005,1
3.46,0.000007,1,0,0.000005,1
3.48,0.000007,1,0,0.000005,1
3.5,0.000007,1,0,0.000005,1
3.52,0.000007,1,0,0.000005,1
3.54,0.000007,1,0,0.000005,1
3.56,0.000007,1,0,0.000005,1
3.58,0.000007,1,0,0.000005,1
3.6,0.000007,1,0,0.000005,1
3.62,0.000007,1,0,0.000005,1
3.64,0.000007,1,0,0.000005,1
3.66,0.000007,1,0,0.000005,1
3.68,0.000007,1,0,0.000005,1
3.7,0.000007,1,0,0.000005,1
3.72,0.000007,1,0,0.000005,1
3.74,0.000007,1,0,0.000005,1
3.76,0.000007,1,0,0.000005,1
3.78,0.000007,1,0,0.000005,1
3.8,0.000007,1,0,0.000005,1
3.82,0.000007,1,0,0.000005,1
3.84,0.000007,1,0,0.000005,1
3.86,0.000007,1,0,0.000005,1
3.88,0.000007,1,0,0.000005,1
3.9,0.000007,1,0,0.000005,1
3.92,0.000007,1,0,0.000005,1
3.94,0.000007,1,0,0.000005,1
3.96,0.000007,1,0,0.000005,1
3.98,0.000007,1,0,0.000005,1
4,0.000007,1,0,0.000005,1
